2024.12.01 19:36:00 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2024.12.01 19:36:01 INFO  web[][o.s.s.a.TomcatHttpConnectorFactory] Starting Tomcat on port 9000
2024.12.01 19:36:02 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 10.7.0.96327 / 923a7aad28f71dce1686768b3ad7c4b1bb962f8d
2024.12.01 19:36:03 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2024.12.01 19:36:03 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: D:\sonarqube-10.7.0.96327\data
2024.12.01 19:36:03 INFO  web[][o.s.d.DefaultDatabase] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2024.12.01 19:36:03 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Starting...
2024.12.01 19:36:03 INFO  web[][c.z.h.p.HikariPool] HikariPool-1 - Added connection conn2: url=jdbc:h2:tcp://127.0.0.1:9092/sonar user=
2024.12.01 19:36:03 INFO  web[][c.z.h.HikariDataSource] HikariPool-1 - Start completed.
2024.12.01 19:36:03 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: D:\sonarqube-10.7.0.96327
2024.12.01 19:36:05 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy C# Code Quality and Security / 9.32.0.97167 / cc0ba76c09677fe094621d35ab0c408bd1215aaa
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Clean as You Code / 2.4.0.2018 / c2f7910f6ecac6faa73001eeac4bd79a2db98cd3
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Flex Code Quality and Security / 2.12.0.4568 / e8b2821a05db57b79b8ae85e3db1571f5b744273
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy Go Code Quality and Security / 1.17.1.145 / 9361aec32c690949f436d992e2cdab0c8474faa1
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy HTML Code Quality and Security / 3.16.0.5274 / 423029a90fcbbd65b86d3b4e9c3e4bc686449a75
2024.12.01 19:36:05 INFO  web[][o.s.s.p.ServerPluginManager] Deploy IaC Code Quality and Security / 1.36.0.12431 / null
